"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of ribosome","GO:0003735","6.549345985707955e-21","20.18380206626462","220","183","48","4386","YJL063C,YKL180W,YLR009W,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W"
"GO:MF","structural molecule activity","GO:0005198","2.496769415962735e-13","12.602621564176099","340","183","49","4386","YIL076W,YJL063C,YKL180W,YLR009W,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W"
"GO:MF","RNA binding","GO:0003723","0.000009159597498030458","5.0381236101995075","541","183","49","4386","YOR198C,YML010W,YBR222C,YMR287C,YNL112W,YJL033W,YOR361C,YNR038W,YLR249W,YPL211W,YLR197W,YHR089C,YGR159C,YLR009W,YBR247C,YDR429C,YDR450W,YHL033C,YJL191W,YLR029C,YDR500C,YPL198W,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YKL006W,YOR293W,YNL067W,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YLR344W,YDL191W,YPL210C,YLR060W,YNL221C,YMR229C"
"GO:MF","rRNA binding","GO:0019843","0.0000386918922458971","4.412380030375521","73","183","15","4386","YML010W,YLR249W,YDR450W,YJL191W,YDR500C,YPR102C,YNL067W,YGL123W,YEL054C,YGL147C,YDR064W,YER117W,YCR031C,YLR340W,YMR229C"
"GO:MF","small ribosomal subunit rRNA binding","GO:0070181","0.035156981532187076","1.4539884191553871","8","183","4","4386","YJL191W,YGL123W,YDR064W,YCR031C"
"GO:BP","cytoplasmic translation","GO:0002181","6.971372384558162e-25","24.156681718262014","184","190","47","5067","YKL180W,YOR361C,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W"
"GO:BP","cellular amide metabolic process","GO:0043603","1.7965457852732973e-15","14.745561710249943","588","190","67","5067","YGR209C,YJL101C,YMR246W,YKR080W,YPR145W,YIL070C,YJL063C,YKL180W,YOR335C,YOR361C,YLR249W,YLR009W,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR094W,YPR033C,YLR060W,YKL103C,YMR170C,YNL160W,YGR244C,YML004C"
"GO:BP","peptide metabolic process","GO:0006518","2.4151200379268397e-15","14.61706127877844","496","190","61","5067","YGR209C,YJL101C,YIL070C,YJL063C,YKL180W,YOR335C,YOR361C,YLR249W,YLR009W,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR094W,YPR033C,YLR060W,YKL103C,YML004C"
"GO:BP","peptide biosynthetic process","GO:0043043","6.606669681715463e-15","14.180017406373823","460","190","58","5067","YJL101C,YIL070C,YJL063C,YKL180W,YOR335C,YOR361C,YLR249W,YLR009W,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR094W,YPR033C,YLR060W"
"GO:BP","amide biosynthetic process","GO:0043604","1.476227399818782e-14","13.830846738122966","514","190","61","5067","YJL101C,YKR080W,YPR145W,YIL070C,YJL063C,YKL180W,YOR335C,YOR361C,YLR249W,YLR009W,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR094W,YPR033C,YLR060W,YMR170C"
"GO:BP","translation","GO:0006412","1.912011271184968e-14","13.718509551913995","455","190","57","5067","YIL070C,YJL063C,YKL180W,YOR335C,YOR361C,YLR249W,YLR009W,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR094W,YPR033C,YLR060W"
"GO:BP","organonitrogen compound biosynthetic process","GO:1901566","8.873065497426412e-13","12.051926312680779","977","190","84","5067","YGL038C,YFL045C,YJL101C,YKR080W,YOR128C,YER090W,YPR145W,YGL202W,YDR226W,YIL070C,YJL063C,YGL187C,YBL099W,YLR295C,YKL067W,YKL180W,YOR270C,YOR335C,YEL009C,YKL216W,YOR361C,YOR095C,YMR217W,YLR249W,YLR009W,YNL141W,YDR429C,YDR450W,YHL033C,YBR191W,YER102W,YJL191W,YLR029C,YDR500C,YIL148W,YLR167W,YLR367W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YNL069C,YIL133C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YHR141C,YNL067W,YPR043W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YGL147C,YDR064W,YHR010W,YER117W,YOR063W,YCR031C,YOR276W,YDR012W,YLR340W,YDL081C,YDR382W,YLR344W,YKL156W,YDL130W,YDL191W,YGR094W,YPR033C,YLR060W,YER043C,YMR108W,YER091C,YDR234W,YKL001C,YLR303W,YMR170C,YLR142W"
"GO:BP","ribosome biogenesis","GO:0042254","7.110790127321502e-12","11.148082139232217","407","190","50","5067","YML010W,YMR287C,YKL180W,YNL112W,YBR154C,YDR087C,YPR110C,YJL033W,YIR012W,YNR038W,YOR224C,YPL211W,YLR197W,YHR089C,YGR159C,YLR009W,YBR247C,YDR450W,YHL033C,YER102W,YJL191W,YDR500C,YIL148W,YLR167W,YJL136C,YER074W,YPL198W,YOL121C,YLL045C,YER131W,YGL189C,YPR102C,YML063W,YKL006W,YOR293W,YNL302C,YGL123W,YGL135W,YPL220W,YEL054C,YDR064W,YOR063W,YCR031C,YLR340W,YLR344W,YKL156W,YDL191W,YGR063C,YNL221C,YMR229C"
